device_id,device_type,petal_id,bus_id,can_id,petal_loc,device_loc,fvc_id,slit_id,slitblock_id,blockfiber_id,spectro_id,obs_x,obs_y,obs_x_px,obs_y_px,matched_00,fvc_x_00,fvc_y_00,err_px_00,matched_01,fvc_x_01,fvc_y_01,err_px_01,matched_02,fvc_x_02,fvc_y_02,err_px_02,matched_10,fvc_x_10,fvc_y_10,err_px_10,matched_11,fvc_x_11,fvc_y_11,err_px_11,matched_12,fvc_x_12,fvc_y_12,err_px_12,matched_20,fvc_x_20,fvc_y_20,err_px_20,matched_21,fvc_x_21,fvc_y_21,err_px_21,matched_22,fvc_x_22,fvc_y_22,err_px_22,matched_30,fvc_x_30,fvc_y_30,err_px_30,matched_31,fvc_x_31,fvc_y_31,err_px_31,matched_32,fvc_x_32,fvc_y_32,err_px_32,matched_40,fvc_x_40,fvc_y_40,err_px_40,matched_41,fvc_x_41,fvc_y_41,err_px_41,matched_42,fvc_x_42,fvc_y_42,err_px_42,matched_50,fvc_x_50,fvc_y_50,err_px_50,matched_51,fvc_x_51,fvc_y_51,err_px_51,matched_52,fvc_x_52,fvc_y_52,err_px_52,matched_60,fvc_x_60,fvc_y_60,err_px_60,matched_61,fvc_x_61,fvc_y_61,err_px_61,matched_62,fvc_x_62,fvc_y_62,err_px_62,matched_70,fvc_x_70,fvc_y_70,err_px_70,matched_71,fvc_x_71,fvc_y_71,err_px_71,matched_72,fvc_x_72,fvc_y_72,err_px_72,matched_80,fvc_x_80,fvc_y_80,err_px_80,matched_81,fvc_x_81,fvc_y_81,err_px_81,matched_82,fvc_x_82,fvc_y_82,err_px_82,matched_90,fvc_x_90,fvc_y_90,err_px_90,matched_91,fvc_x_91,fvc_y_91,err_px_91,matched_92,fvc_x_92,fvc_y_92,err_px_92,fvc_x_click,fvc_y_click
M00282,POS,6.0,12.0,282.0,2.0,138.0,6138.0,6.0,B00,F16,,202.07596086584402,-117.43227397106976,1729.3022884538411,2299.845509751971,,,,,,,,,,,,,,,,,,,,,,,,,True,1726.2679999999998,2295.219,5.5327659363284205,True,1734.201,2303.465,6.090819687697978,True,1738.849,2291.675,12.673121320337714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00283,POS,8.0,10.0,283.0,4.0,25.0,8025.0,1.0,B04,F07,,40.003276768923115,79.48590641839623,2748.739471423474,3538.460864401712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2752.583,3553.9790000000003,15.987033632460786,True,2748.393,3543.82,5.3703237153939,True,2737.6620000000003,3550.4829999999997,12.631307533267849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00284,POS,6.0,12.0,284.0,2.0,180.0,6180.0,6.0,B01,F10,,228.56105297661762,-125.00195644247336,1562.7110590770753,2252.232207006842,,,,,,,,,,,,,,,,,,,,,,,,,True,1560.851,2247.251,5.317164941509825,True,1549.674,2248.239,11.220582560633947,True,1554.067,2257.8360000000002,10.554660487197314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00296,POS,8.0,13.0,296.0,4.0,103.0,8103.0,1.0,B18,F10,,145.06985504251645,136.91604825301013,2087.870694082572,3899.6964565414337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2084.931,3900.236,2.988797156514514,True,2088.958,3889.942,9.814869157395469,True,2073.776,3889.44,15.190297166283724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00325,POS,8.0,11.0,325.0,4.0,41.0,8041.0,1.0,B10,F04,,85.40444920427996,91.43974378753941,2463.166096805079,3613.650501453623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2463.364,3619.7859999999996,6.138689443777987,True,2457.736,3610.375,6.341518831101723,True,2446.775,3618.5820000000003,13.693004418315242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00411,POS,11.0,14.0,411.0,6.0,526.0,11526.0,4.0,B01,F09,,-300.78485417981096,264.9881730717218,4892.296815091011,4705.2701216511305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4875.754,4698.634,17.824220647870895,True,4868.567,4707.77,11.624089856844975,True,4879.91,4710.423,11.64912262790606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00436,POS,3.0,13.0,436.0,3.0,117.0,3117.0,2.0,B13,F19,,194.51720979167519,52.44357271926811,1776.8468327103633,3368.364585434196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1774.725,3354.3740000000003,14.150570830970187,True,1787.55,3353.1220000000003,12.885966358795176,True,1780.015,3360.9629999999997,8.051133517389593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00469,POS,10.0,13.0,469.0,5.0,106.0,10106.0,7.0,B00,F06,,3.7464457467908687,189.69560134273155,2976.7949385526854,4231.679845475781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2975.675,4232.113,1.2007852445971938,True,2968.402,4223.625,11.177775852109704,True,2963.5190000000002,4234.259,11.701523191448132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00470,POS,11.0,14.0,470.0,6.0,525.0,11525.0,4.0,B00,F06,,-293.80609519454407,272.576217805943,4848.400421073682,4752.998923029381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4833.366,4747.723,15.933272759628922,True,4822.771,4751.719,11.323517165616263,True,4829.499,4759.434,10.236562362434135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M00636,POS,7.0,23.0,636.0,8.0,261.0,7261.0,5.0,B14,F21,,-307.2050537418047,-50.30743823540677,4932.679870335952,2722.060726529291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4926.935,2729.5159999999996,9.41194122909538,True,4920.07,2725.0959999999995,8.164840782281681,True,4919.877,2736.259,11.16466828884809,,,,,,,,,,,,,,
