device_loc,device_type,X,Y,Z,Q,R,S
0,POS,28.134375,5.201437,-0.082419,10.474479,0.252067,-10.474479
1,POS,38.551296,5.201448,-0.152664,7.684102,0.343040,-7.684102
2,POS,33.343493,14.253354,-0.132583,23.145270,0.319697,-23.145270
3,POS,48.968106,5.201461,-0.245266,6.063302,0.434737,-6.063302
4,POS,43.760371,14.255653,-0.214058,18.043862,0.406151,-18.043862
5,POS,59.384810,5.201480,-0.360537,5.005728,0.527140,-5.005728
6,POS,54.177144,14.256291,-0.318053,14.742720,0.495072,-14.742720
7,POS,48.967142,23.345351,-0.298069,25.489726,0.479257,-25.489726
8,POS,69.800289,5.201506,-0.498824,4.261795,0.620367,-4.261795
9,POS,64.592763,14.249463,-0.444873,12.440458,0.585716,-12.440458
10,POS,59.383858,23.337718,-0.413611,21.454711,0.564695,-21.454711
11,FIF,54.182759,32.395574,-0.404797,30.874971,0.558629,-30.874971
12,POS,80.215689,5.201540,-0.660539,3.710118,0.714589,-3.710118
13,POS,75.008287,14.241437,-0.594928,10.750493,0.677869,-10.750493
14,POS,69.800405,23.299254,-0.552079,18.458920,0.652831,-18.458920
15,POS,64.599448,32.359504,-0.531959,26.607453,0.640752,-26.607453
16,POS,90.630976,5.201583,-0.846101,3.284773,0.809963,-3.284773
17,POS,85.423703,14.236912,-0.768639,9.462080,0.771490,-9.462080
18,POS,80.215599,23.295915,-0.714161,16.194157,0.743325,-16.194157
19,POS,75.016034,32.323704,-0.682426,23.310756,0.726448,-23.310756
20,POS,69.786205,41.395803,-0.673227,30.675584,0.721486,-30.675584
21,POS,101.046105,5.201632,-1.055932,2.946860,0.906614,-2.946860
22,POS,95.838980,14.237022,-0.966431,8.449580,0.866593,-8.449580
23,POS,90.630637,23.299708,-0.900149,14.417623,0.835835,-14.417623
24,POS,85.432557,32.329622,-0.856874,20.727782,0.815180,-20.727782
25,POS,80.200656,41.359380,-0.835814,27.280102,0.804952,-27.280102
26,POS,111.461023,5.201688,-1.290443,2.671954,1.004652,-2.671954
27,POS,106.254079,14.235969,-1.188700,7.631070,0.963210,-7.631070
28,POS,101.045606,23.296309,-1.110389,12.982822,0.930201,-12.982822
29,POS,95.848134,32.326855,-1.055354,18.637790,0.906360,-18.637790
30,POS,90.614980,41.368525,-1.022718,24.538156,0.891952,-24.538156
31,POS,85.361306,50.431334,-1.012965,30.574531,0.887605,-30.574531
32,POS,121.875677,5.201751,-1.550013,2.443946,1.104193,-2.443946
33,POS,116.668954,14.238986,-1.435858,6.958312,1.061409,-6.958312
34,POS,111.460452,23.297031,-1.345338,11.805777,1.026398,-11.805777
35,POS,106.263304,32.326987,-1.278351,16.920595,0.999806,-16.920595
36,POS,101.029161,41.366600,-1.233845,22.266748,0.981789,-22.266748
37,POS,95.776854,50.441734,-1.212562,27.773934,0.973069,-27.773934
38,NON,90.539726,59.568980,-1.215569,33.342196,0.974305,-33.342196
39,POS,132.290020,5.201820,-1.834975,2.251786,1.205388,-2.251786
40,POS,127.083563,14.242436,-1.708249,6.394537,1.161285,-6.394537
41,POS,121.875109,23.312745,-1.605420,10.828949,1.124460,-10.828949
42,POS,116.677631,32.345810,-1.526342,15.494637,1.095439,-15.494637
43,POS,111.443232,41.368033,-1.469701,20.365064,1.074245,-20.365064
44,POS,106.192152,50.442824,-1.436591,25.408401,1.061688,-25.408401
45,POS,100.955815,59.573706,-1.428027,30.544720,1.058419,-30.544720
46,POS,142.704022,5.201895,-2.145600,2.087641,1.308433,-2.087641
47,POS,137.497877,14.241743,-2.006158,5.913490,1.262986,-5.913490
48,POS,132.289546,23.328109,-1.890884,10.000795,1.224435,-10.000795
49,POS,127.093215,32.371519,-1.799643,14.289783,1.193225,-14.289783
50,POS,121.857174,41.401574,-1.730894,18.765445,1.169265,-18.765445
51,POS,116.607190,50.444640,-1.685510,23.393462,1.153226,-23.393462
52,POS,111.371701,59.574862,-1.665163,28.143182,1.145975,-28.143182
53,POS,106.147709,68.622231,-1.667694,32.881807,1.146879,-32.881807
54,POS,153.117665,5.201978,-2.482086,1.945803,1.413569,-1.945803
55,POS,147.911879,14.235958,-2.329817,5.497568,1.366717,-5.497568
56,POS,142.703742,23.330238,-2.201928,9.284986,1.326455,-9.284986
57,POS,137.506269,32.376499,-2.098242,13.249238,1.293135,-13.249238
58,POS,132.271120,41.413641,-2.017254,17.385162,1.266648,-17.385162
59,POS,127.021981,50.454549,-1.959713,21.663528,1.247566,-21.663528
60,POS,121.787408,59.563824,-1.927184,26.062347,1.236677,-26.062347
