#SERIAL      Q          S        Flags
#Using proper center
  3011   30.87124   63.18630     8
  3075   15.06597  158.45910     8
  3150    3.32121  242.15600     8
  3239   34.75541  262.83870     8
  3321   15.80907  316.40000     8
  3439    2.00233  410.03190     8
  3482    8.32528  408.86220     8
  3517   16.06722  410.64640     8
  3534   25.68362  408.69780     8
  3541   35.06104  361.21950     8
  3542   29.57992  410.90020     8
  4011   66.62454   63.32460     8
  4150   39.39207  241.97320     8
  4321   51.83069  316.29590     8
  4439   37.93071  410.21430     8
  4482   44.36775  409.28890     8
  4496   65.27472  379.56570     8
  4517   52.07892  410.42660     8
  4534   61.60221  408.65000     8
  4541   71.12726  361.37040     8
  4542   65.56118  411.21260     8
  5011  103.14896   63.12960     8
  5075   87.12825  158.37210     8
  5150   75.40650  242.35030     8
  5239  106.77696  262.47270     8
  5321   87.90000  316.23130     8
  5439   74.01166  410.51550     8
  5482   80.37316  408.92930     8
  5496  101.32576  379.78140     8
  5517   88.09972  410.55030     8
  5534   97.66743  408.84060     8
  5541  107.09069  361.64880     8
  5542  101.62595  410.74210     8
  6011  138.84291   62.94880     8
  6075  123.25953  158.50470     8
  6150  111.32168  242.22030     8
  6239  142.79647  262.44750     8
  6321  123.86286  316.58590     8
  6439  109.95344  410.05440     8
  6482  116.38122  409.11220     8
  6496  137.31703  380.02880     8
  6517  124.09692  410.72660     8
  6534  133.68138  408.68950     8
  6542  137.57253  410.75070     8
  7011  174.66932   63.04520     8
  7075  159.23157  158.69940     8
  7150  147.36051  242.23490     8
  7239  178.73093  262.31280     8
  7321  159.85093  316.20500     8
  7439  145.97246  410.33010     8
  7482  152.39102  408.82470     8
  7496  173.26985  379.86730     8
  7517  160.08126  410.61960     8
  7534  169.68874  408.88450     8
  7541  179.04265  361.17560     8
  7542  173.52167  411.16460     8
  8011  210.83856   63.40100     8
  8075  195.19156  158.85500     8
  8150  183.39040  241.89560     8
  8239  214.84531  262.47900     8
  8321  195.83520  316.62720     8
  8439  181.99668  410.55130     8
  8482  188.35453  408.83230     8
  8517  196.06790  410.35110     8
  8534  205.62849  408.49110     8
  8541  215.09037  361.46130     8
  8542  209.55023  411.28970     8
  9011  246.72206   63.34430     8
  9075  231.08541  158.53530     8
  9150  219.39660  241.96490     8
  9239  250.78698  262.35050     8
  9321  231.80418  316.43380     8
  9439  217.97379  410.43140     8
  9482  224.38453  409.14720     8
  9496  245.33380  379.56190     8
  9517  232.10241  410.28730     8
  9534  241.67922  408.30630     8
  9541  251.11596  361.44480     8
  9542  245.52422  411.32770     8
    11  282.57516   63.22140     8
    75  267.12455  158.42270     8
   150  255.37761  241.84240     8
   239  286.79281  262.88530     8
   321  267.83642  316.20340     8
   439  253.98559  410.42990     8
   482  260.38846  409.02520     8
   496  281.28368  379.73190     8
   517  268.03725  410.61890     8
   534  277.65431  408.84130     8
   541  287.08775  360.95930     8
   542  281.59551  411.32060     8
  1011  318.76817   63.35690     8
  1075  303.18125  158.92750     8
  1150  291.39708  242.41430     8
  1239  322.82011  262.44300     8
  1321  303.91097  316.60300     8
  1439  289.98791  410.16540     8
  1482  296.38718  409.25450     8
  1496  317.28955  379.99090     8
  1517  304.10297  410.35890     8
  1533  313.63204  408.87500     8
  1534  312.23073  409.46220     8
  1541  323.13931  361.67900     8
  1542  317.54698  410.96020     8
  2011  354.88561   62.82360     8
  2075  339.09716  158.60710     8
  2150  327.42059  242.16010     8
  2239  358.79689  262.33860     8
  2321  339.89337  316.63700     8
  2439  326.04286  410.22940     8
  2482  332.33690  408.95860     8
  2496  353.28780  379.63430     8
  2517  340.08352  410.66270     8
  2534  349.64119  408.70980     8
  2541  359.06627  361.67090     8
  2542  353.54679  411.30720     8
