#LOC    Q       S
#Using proper center
3011 30.86960 63.1620
3075 15.07048 158.4395
3150 3.32733 242.1410
3239 34.76448 262.8134
3321 15.81723 316.3801
3439 2.01090 410.0180
3482 8.33402 408.8450
3517 16.07638 410.6269
3534 25.69322 408.6745
3541 35.07096 361.1931
3542 29.58979 410.8757
4011 66.65176 63.3959
4150 39.39813 242.0170
4321 51.83079 316.3540
4439 37.93005 410.2566
4482 44.36646 409.3387
4496 65.27081 379.6357
4517 52.07663 410.4853
4534 61.59854 408.7172
4541 71.12259 361.4445
4542 65.55674 411.2830
5011 103.20669 63.1563
5075 87.15478 158.3810
5150 75.42511 242.3460
5239 106.79269 262.5026
5321 87.91487 316.2406
5439 74.02388 410.5091
5482 80.38547 408.9304
5496 101.33806 379.8058
5517 88.11186 410.5602
5534 97.67917 408.8612
5541 107.10290 361.6792
5542 101.63744 410.7671
6011 138.81976 62.9825
6075 123.27069 158.5517
6150 111.34084 242.2762
6239 142.81107 262.4779
6321 123.88191 316.6328
6439 109.97613 410.1112
6482 116.40291 409.1652
6496 137.33596 380.0642
6517 124.11779 410.7733
6534 133.70122 408.7287
6542 137.59193 410.7861
7011 174.77037 62.9865
7075 159.25941 158.6108
7150 147.37118 242.1268
7239 178.74986 262.2624
7321 159.86104 316.1164
7439 145.97499 410.2204
7482 152.39524 408.7246
7496 173.27950 379.8051
7517 160.08716 410.5314
7534 169.69650 408.8154
7541 179.05414 361.1260
7542 173.53004 411.1027
8011 210.83899 63.4676
8075 195.19780 158.9191
8150 183.39718 241.9542
8239 214.84359 262.5461
8321 195.83767 316.6921
8439 182.00058 410.6092
8482 188.35742 408.8936
8517 196.06960 410.4161
8534 205.62866 408.5575
8541 215.08894 361.5278
8542 209.54974 411.3567
9011 246.68996 63.3654
9075 231.07046 158.5638
9150 219.38568 241.9969
9239 250.77333 262.3705
9321 231.79301 316.4624
9439 217.96447 410.4641
9482 224.37472 409.1782
9496 245.32241 379.5843
9517 232.09210 410.3149
9534 241.66823 408.3305
9541 251.10395 361.4644
9542 245.51308 411.3506
11 282.66289 63.2082
75 267.14231 158.3772
150 255.37819 241.7742
239 286.79600 262.8817
321 267.83351 316.1597
439 253.97599 410.3591
482 260.37987 408.9660
496 281.27842 379.7155
517 268.02962 410.5748
534 277.64754 408.8175
541 287.08360 360.9563
542 281.58885 411.3057
1011 318.77601 63.3775
1075 303.19113 158.9477
1150 291.40716 242.4325
1239 322.82762 262.4638
1321 303.91970 316.6224
1439 289.99703 410.1837
1482 296.39599 409.2729
1496 317.29732 380.0119
1517 304.11146 410.3787
1533 313.64008 408.8954
1534 312.23887 409.4827
1541 323.14688 361.6997
1542 317.55482 410.9808
2011 354.89565 62.8104
2075 339.09993 158.5914
2150 327.42206 242.1434
2239 358.80007 262.3257
2321 339.89525 316.6219
2439 326.04390 410.2131
2482 332.33831 408.9425
2496 353.29000 379.6211
2517 340.08521 410.6467
2534 349.64313 408.6957
2541 359.06883 361.6585
2542 353.54895 411.2931
