PETAL_LOC,XPETAL(mm),YPETAL(mm),rot_rel(deg),rot_nominal(deg),rot_proper(deg),rot_proper(rad)
3,-0.0133,-0.0258,0.012095,0,0.012095,0.000211098
4,-0.0104,0.0815,-0.010469,36,35.989531,0.628135812
5,-0.0643,0.012,0.003086,72,72.003086,1.256690922
6,0.0106,0.0638,0.027067,108,108.027067,1.885428
7,0.0476,-0.1252,-0.008264,144,143.991736,2.513129889
8,-0.057,-0.035,-0.000785,180,179.999215,3.141578953
9,-0.034,-0.0089,-0.007319,216,215.992681,3.769783444
0,0.1175,0.0397,-0.023868,-108,-108.023868,-1.885372167
1,0.0158,-0.0133,0.007670,-72,-71.99233,-1.256503195
2,-0.0125,0.0111,0.000788,-36,-35.999212,-0.628304778
