id,index,center,device_loc,petal_id,x,y,z,q,s,t,pinhole1,pinhole2,pinhole3,pinhole4
7482,P010,"{'x': 403.85418030000005, 'y': 59.571288675000005, 'z': -18.895971799999998}",482,2,403.85418030000005,59.571288675000005,-18.895971799999998,152.39101539187502,408.82536671098563,-0.1437182989798514,,,,
7150,P014,"{'x': 241.6937129, 'y': 14.192133875, 'z': -6.5802239}",150,2,241.6937129,14.192133875,-6.5802239,147.36052071071387,242.2329041429752,-0.17500380317628042,,,,
7011,P018,"{'x': 54.223540775000004, 'y': 32.156358325, 'z': -0.5668154000000001}",11,2,54.223540775000004,32.156358325,-0.5668154000000001,174.66934693663657,63.044772351591256,-0.16313633717693393,,,,
7517,P023,"{'x': 393.97229475, 'y': 113.57465865, 'z': -19.010854375}",517,2,393.97229475,113.57465865,-19.010854375,160.08125721933033,410.61997581436884,-0.08223333714395145,,,,
7542,P050,"{'x': 357.2379699, 'y': 202.29390832500002, 'z': -19.269054475}",542,2,357.2379699,202.29390832500002,-19.269054475,173.52166881671025,411.16614305306155,-0.28776287440472365,,,,
7541,P053,"{'x': 295.36677575, 'y': 207.14586995000002, 'z': -14.688073125}",541,2,295.36677575,207.14586995000002,-14.688073125,179.0426489452036,361.1747887565163,-0.2258694277436842,,,,
7496,P066,"{'x': 330.9546239, 'y': 185.49413135000003, 'z': -16.211662875000002}",496,2,330.9546239,185.49413135000003,-16.211662875000002,173.26984846653033,379.86719337787423,-0.15311838720256082,,,,
7239,P082,"{'x': 215.44959382500002, 'y': 149.3564816, 'z': -7.693678625}",239,2,215.44959382500002,149.3564816,-7.693678625,178.73092548995635,262.311043429157,-0.15339281924727494,,,,
7534,P096,"{'x': 367.930019325, 'y': 176.98370069999999, 'z': -18.899364025}",534,2,367.930019325,176.98370069999999,-18.899364025,169.68873832835982,408.8851617514028,-0.14124911022546882,,,,
7439,P104,"{'x': 409.4792344, 'y': 14.102303299999999, 'z': -19.044632725}",439,2,409.4792344,14.102303299999999,-19.044632725,145.97246445292907,410.33073031220465,-0.1447927586324934,,,,
7321,P124,"{'x': 303.9188268500001, 'y': 86.29221365000001, 'z': -11.199992850000001}",321,2,303.9188268500001,86.29221365000001,-11.199992850000001,159.85092941024246,316.2035890178146,-0.17518820161203977,,,,
