id,index,center,device_loc,petal_id,x,y,z,q_kent,q_kent_wrapped,s_kent,obs_x,obs_y,obs_z,qst_q,qst_s,qst_t,q,s,dq,ds,pinhole1,pinhole2,pinhole3,pinhole4
7482,P010,"{'x': 403.85418030000005, 'y': 59.571288675000005, 'z': -18.895971799999998}",482,2,403.85418030000005,59.571288675000005,-18.895971799999998,152.39102,152.39102,408.8247,-361.7402665581093,189.18547958540367,-18.889944036018985,152.39101485390466,408.82502656257475,-0.13769195861162795,152.39101485390466,408.82502656257475,-5.146095332975165e-06,0.0003265625747417289,,,,
7150,P014,"{'x': 241.6937129, 'y': 14.192133875, 'z': -6.5802239}",150,2,241.6937129,14.192133875,-6.5802239,147.36051,147.36051,242.2349,-203.87632787003795,130.582377448016,-6.576707018525514,147.36051993934825,242.23285092744763,-0.17148661695113995,147.36051993934825,242.23285092744763,9.939348245779911e-06,-0.0020490725523814035,,,,
7011,P018,"{'x': 54.223540775000004, 'y': 32.156358325, 'z': -0.5668154000000001}",11,2,54.223540775000004,32.156358325,-0.5668154000000001,174.66932,174.66932,63.0452,-62.7688076956174,5.856767096874403,-0.5659041423972916,174.6693387296906,63.04477283257326,-0.16222502968100685,174.6693387296906,63.04477283257326,1.8729690594909698e-05,-0.00042716742674286934,,,,
7517,P023,"{'x': 393.97229475, 'y': 113.57465865, 'z': -19.010854375}",517,2,393.97229475,113.57465865,-19.010854375,160.08126000000001,160.08126000000001,410.6196,-385.4880445458244,139.68741203527455,-19.004740094815762,160.08125136930653,410.61962496829585,-0.07612062732791472,160.08125136930653,410.61962496829585,-8.63069348611134e-06,2.4968295861071965e-05,,,,
7542,P050,"{'x': 357.2379699, 'y': 202.29390832500002, 'z': -19.269054475}",542,2,357.2379699,202.29390832500002,-19.269054475,173.52167,173.52167,411.1646,-407.9172315981311,46.320140600301926,-19.26309127585431,173.52165360275188,411.16580234950385,-0.2818009209360014,173.52165360275188,411.16580234950385,-1.6397248117527852e-05,0.0012023495038420151,,,,
7541,P053,"{'x': 295.36677575, 'y': 207.14586995000002, 'z': -14.688073125}",541,2,295.36677575,207.14586995000002,-14.688073125,179.04265,179.04265,361.1756,-360.71423548639046,6.027817822248667,-14.682974409365416,179.0426316895456,361.17459266149615,-0.22077085848900016,179.0426316895456,361.17459266149615,-1.831045440781054e-05,-0.0010073385038253946,,,,
7496,P066,"{'x': 330.9546239, 'y': 185.49413135000003, 'z': -16.211662875000002}",496,2,330.9546239,185.49413135000003,-16.211662875000002,173.26985,173.26985,379.8673,-376.7788541073013,44.46246393011004,-16.206146495714503,173.2698342208931,379.8669462735472,-0.1476026352978962,173.2698342208931,379.8669462735472,-1.5779106888658134e-05,-0.00035372645277220727,,,,
7239,P082,"{'x': 215.44959382500002, 'y': 149.3564816, 'z': -7.693678625}",239,2,215.44959382500002,149.3564816,-7.693678625,178.73093,178.73093,262.3128,-262.09202870640644,5.806228717052103,-7.689966813430203,178.73091144424905,262.3109773067374,-0.14968071078232933,178.73091144424905,262.3109773067374,-1.855575095532913e-05,-0.0018226932625680092,,,,
7534,P096,"{'x': 367.930019325, 'y': 176.98370069999999, 'z': -18.899364025}",534,2,367.930019325,176.98370069999999,-18.899364025,169.68874,169.68874,408.8845,-401.69030646620763,73.08115515904106,-18.89335468793405,169.68872584564565,408.88482246814283,-0.13524119509839533,169.68872584564565,408.88482246814283,-1.415435434637402e-05,0.00032246814282643754,,,,
7439,P104,"{'x': 409.4792344, 'y': 14.102303299999999, 'z': -19.044632725}",439,2,409.4792344,14.102303299999999,-19.044632725,145.97246,145.97246,410.3301,-339.5650296962722,229.27698369349804,-19.038716353960265,145.97246831735575,410.33039246351365,-0.1388778144680524,145.97246831735575,410.33039246351365,8.317355735698584e-06,0.00029246351363099166,,,,
7321,P124,"{'x': 303.9188268500001, 'y': 86.29221365000001, 'z': -11.199992850000001}",321,2,303.9188268500001,86.29221365000001,-11.199992850000001,159.85093,159.85093,316.205,-296.5969333385178,108.82722486428645,-11.195281735947017,159.85092362844074,316.2034613044286,-0.17047684000913949,159.85092362844074,316.2034613044286,-6.371559265971882e-06,-0.0015386955714120631,,,,
